sample_id,subject,video,timestamp,relative_time_bin,target_valence,target_arousal
predict1_V01_T000,predict1,1,0,0,128,128
predict1_V01_T001,predict1,1,1,0,128,128
predict1_V01_T002,predict1,1,2,0,128,128
predict1_V01_T003,predict1,1,3,0,128,128
predict1_V01_T004,predict1,1,4,0,145,156
predict1_V01_T005,predict1,1,5,0,176,171
predict1_V01_T006,predict1,1,6,0,182,187
predict1_V01_T007,predict1,1,7,0,182,187
predict1_V01_T008,predict1,1,8,0,182,187
predict1_V01_T009,predict1,1,9,0,182,187
predict1_V01_T010,predict1,1,10,0,182,187
predict1_V01_T011,predict1,1,11,0,182,187
predict1_V01_T012,predict1,1,12,0,199,187
predict1_V01_T013,predict1,1,13,0,199,187
predict1_V01_T014,predict1,1,14,1,199,187
predict1_V01_T015,predict1,1,15,1,199,187
predict1_V01_T016,predict1,1,16,1,199,187
predict1_V01_T017,predict1,1,17,1,199,187
predict1_V01_T018,predict1,1,18,1,199,187
predict1_V01_T019,predict1,1,19,1,199,187
predict1_V01_T020,predict1,1,20,1,199,187
predict1_V01_T021,predict1,1,21,1,199,187
predict1_V01_T022,predict1,1,22,1,199,187
predict1_V01_T023,predict1,1,23,1,199,187
predict1_V01_T024,predict1,1,24,1,176,150
predict1_V01_T025,predict1,1,25,1,159,147
predict1_V01_T026,predict1,1,26,1,159,147
predict1_V01_T027,predict1,1,27,2,159,147
predict1_V01_T028,predict1,1,28,2,159,147
predict1_V01_T029,predict1,1,29,2,159,147
predict1_V01_T030,predict1,1,30,2,159,147
predict1_V01_T031,predict1,1,31,2,159,147
predict1_V01_T032,predict1,1,32,2,159,147
predict1_V01_T033,predict1,1,33,2,159,147
predict1_V01_T034,predict1,1,34,2,159,147
predict1_V01_T035,predict1,1,35,2,159,147
predict1_V01_T036,predict1,1,36,2,159,147
predict1_V01_T037,predict1,1,37,2,159,147
predict1_V01_T038,predict1,1,38,2,159,147
predict1_V01_T039,predict1,1,39,2,159,147
predict1_V01_T040,predict1,1,40,2,159,147
predict1_V01_T041,predict1,1,41,3,159,147
predict1_V01_T042,predict1,1,42,3,159,147
predict1_V01_T043,predict1,1,43,3,159,147
predict1_V01_T044,predict1,1,44,3,159,147
predict1_V01_T045,predict1,1,45,3,159,147
predict1_V01_T046,predict1,1,46,3,159,147
predict1_V01_T047,predict1,1,47,3,180,147
predict1_V01_T048,predict1,1,48,3,180,147
predict1_V01_T049,predict1,1,49,3,180,147
predict1_V01_T050,predict1,1,50,3,180,147
predict1_V01_T051,predict1,1,51,3,180,147
predict1_V01_T052,predict1,1,52,3,180,147
predict1_V01_T053,predict1,1,53,3,180,147
predict1_V01_T054,predict1,1,54,4,180,147
predict1_V01_T055,predict1,1,55,4,180,167
predict1_V01_T056,predict1,1,56,4,180,176
predict1_V01_T057,predict1,1,57,4,191,189
predict1_V01_T058,predict1,1,58,4,191,189
predict1_V01_T059,predict1,1,59,4,191,189
predict1_V01_T060,predict1,1,60,4,191,189
predict1_V01_T061,predict1,1,61,4,191,189
predict1_V01_T062,predict1,1,62,4,191,189
predict1_V01_T063,predict1,1,63,4,191,189
predict1_V01_T064,predict1,1,64,4,191,189
predict1_V01_T065,predict1,1,65,4,191,189
predict1_V01_T066,predict1,1,66,4,191,189
predict1_V01_T067,predict1,1,67,4,191,189
predict1_V01_T068,predict1,1,68,5,191,189
predict1_V01_T069,predict1,1,69,5,191,189
predict1_V01_T070,predict1,1,70,5,191,189
predict1_V01_T071,predict1,1,71,5,191,189
predict1_V01_T072,predict1,1,72,5,191,189
predict1_V01_T073,predict1,1,73,5,191,189
predict1_V01_T074,predict1,1,74,5,191,189
predict1_V01_T075,predict1,1,75,5,191,189
predict1_V01_T076,predict1,1,76,5,191,189
predict1_V01_T077,predict1,1,77,5,191,189
predict1_V01_T078,predict1,1,78,5,191,189
predict1_V01_T079,predict1,1,79,5,191,189
predict1_V01_T080,predict1,1,80,5,191,189
predict1_V01_T081,predict1,1,81,6,191,189
predict1_V01_T082,predict1,1,82,6,191,189
predict1_V01_T083,predict1,1,83,6,191,189
predict1_V01_T084,predict1,1,84,6,191,189
predict1_V01_T085,predict1,1,85,6,191,189
predict1_V01_T086,predict1,1,86,6,191,189
predict1_V01_T087,predict1,1,87,6,191,189
predict1_V01_T088,predict1,1,88,6,191,189
predict1_V01_T089,predict1,1,89,6,191,189
predict1_V01_T090,predict1,1,90,6,191,189
predict1_V01_T091,predict1,1,91,6,191,189
predict1_V01_T092,predict1,1,92,6,191,189
predict1_V01_T093,predict1,1,93,6,191,189
predict1_V01_T094,predict1,1,94,6,191,189
predict1_V01_T095,predict1,1,95,7,191,189
predict1_V01_T096,predict1,1,96,7,191,189
predict1_V01_T097,predict1,1,97,7,191,189
predict1_V01_T098,predict1,1,98,7,191,189
predict1_V01_T099,predict1,1,99,7,191,189
predict1_V01_T100,predict1,1,100,7,191,189
predict1_V01_T101,predict1,1,101,7,191,189
predict1_V01_T102,predict1,1,102,7,191,189
predict1_V01_T103,predict1,1,103,7,191,189
predict1_V01_T104,predict1,1,104,7,191,189
predict1_V01_T105,predict1,1,105,7,191,189
predict1_V01_T106,predict1,1,106,7,191,189
predict1_V01_T107,predict1,1,107,7,191,189
predict1_V01_T108,predict1,1,108,8,191,189
predict1_V01_T109,predict1,1,109,8,191,189
predict1_V01_T110,predict1,1,110,8,191,189
predict1_V01_T111,predict1,1,111,8,191,189
predict1_V01_T112,predict1,1,112,8,191,189
predict1_V01_T113,predict1,1,113,8,191,189
predict1_V01_T114,predict1,1,114,8,191,189
predict1_V01_T115,predict1,1,115,8,191,189
predict1_V01_T116,predict1,1,116,8,191,189
predict1_V01_T117,predict1,1,117,8,191,189
predict1_V01_T118,predict1,1,118,8,191,189
predict1_V01_T119,predict1,1,119,8,191,189
predict1_V01_T120,predict1,1,120,8,191,189
predict1_V01_T121,predict1,1,121,8,191,189
predict1_V01_T122,predict1,1,122,9,191,189
predict1_V01_T123,predict1,1,123,9,191,189
predict1_V01_T124,predict1,1,124,9,191,189
predict1_V01_T125,predict1,1,125,9,191,189
predict1_V01_T126,predict1,1,126,9,191,189
predict1_V01_T127,predict1,1,127,9,191,189
predict1_V01_T128,predict1,1,128,9,191,189
predict1_V01_T129,predict1,1,129,9,191,189
predict1_V01_T130,predict1,1,130,9,191,189
predict1_V01_T131,predict1,1,131,9,191,189
predict1_V01_T132,predict1,1,132,9,191,189
predict1_V01_T133,predict1,1,133,9,191,189
predict1_V01_T134,predict1,1,134,9,191,189
predict1_V02_T000,predict1,2,0,0,128,128
predict1_V02_T001,predict1,2,1,0,128,128
predict1_V02_T002,predict1,2,2,0,128,128
predict1_V02_T003,predict1,2,3,0,128,128
