relative_time_bin,variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
0,global_constant,Global constant,640,14.615625,17.4359375,11.7953125,669.6890625,nan,nan,0.0,0.0
0,video_identity,Video identity,640,45.534375,54.3234375,36.7453125,3008.3640625,0.2329832920134038,0.25934705298651434,0.16269491731588032,0.21708405099712613
0,video_time,Video--time prior,640,13.4015625,15.0609375,11.7421875,629.2703125,0.3311720663442946,0.25262988236951583,0.18459808678532616,0.04006067605194829
0,physiology,Physiological branch,640,15.69453125,17.4921875,13.896875,640.29453125,0.20027953475040663,0.04452490339308125,0.06693948103640258,0.017561873581411327
0,fixed_fusion,Fixed fusion,640,13.453125,15.059375,11.846875,629.9734375,0.33189070594977244,0.24356508492699733,0.1843659593953237,0.03641943430909815
1,global_constant,Global constant,608,32.35361842105263,34.19736842105263,30.50986842105263,1840.2417763157894,nan,nan,0.0,0.0
1,video_identity,Video identity,608,39.91611842105263,43.3125,36.51973684210526,2586.3634868421054,0.6039009119731362,0.378948570870685,0.5071281265222652,0.37174984661759386
1,video_time,Video--time prior,608,25.64144736842105,23.601973684210527,27.68092105263158,1168.0805921052631,0.6422357191638167,0.421581172339828,0.5740351471772919,0.24611959728172514
1,physiology,Physiological branch,608,31.51233552631579,31.917763157894736,31.106907894736842,1716.1488486842106,0.2482568881244377,-0.009331927820135224,0.06890907603592175,-0.002511642796733211
1,fixed_fusion,Fixed fusion,608,25.757401315789473,23.60361842105263,27.911184210526315,1177.5123355263158,0.6419406888972036,0.4173551057294983,0.5711662805620715,0.22776321150246429
2,global_constant,Global constant,616,38.499188311688314,39.57305194805195,37.425324675324674,2163.6030844155844,nan,nan,0.0,0.0
2,video_identity,Video identity,616,33.1875,33.67045454545455,32.70454545454545,2040.010551948052,0.7599496014645195,0.4527721036032915,0.6947790819037388,0.43406430806537377
2,video_time,Video--time prior,616,24.0137987012987,20.628246753246753,27.399350649350648,998.726461038961,0.8129142345739678,0.5395890343390448,0.8113045309672285,0.46519272125726663
2,physiology,Physiological branch,616,37.32548701298701,37.496753246753244,37.15422077922078,2060.8563311688313,0.1110117010600053,-0.05982986973448476,0.03437427162421159,-0.016534163413765686
2,fixed_fusion,Fixed fusion,616,24.142857142857142,20.579545454545453,27.70616883116883,1001.8441558441558,0.8129309228020112,0.5363935447911959,0.8108643948336794,0.4411507658528383
3,global_constant,Global constant,612,44.95424836601307,48.09803921568628,41.810457516339866,2747.468954248366,nan,nan,0.0,0.0
3,video_identity,Video identity,612,27.313725490196077,26.326797385620914,28.30065359477124,1368.312091503268,0.8620585124673082,0.6187695561161757,0.8482347545998455,0.6041669802293542
