subject,video,samples,duration_seconds,valence_mean,arousal_mean,valence_std,arousal_std
predict1,1,135,135,182.8518524169922,176.6666717529297,15.97939395904541,19.422780990600586
predict1,2,137,137,115.3138656616211,59.10218811035156,28.10219955444336,29.187610626220703
predict1,3,90,90,50.78888702392578,207.77777099609375,56.295745849609375,30.67926597595215
predict1,4,79,79,173.4430389404297,195.32911682128906,14.777458190917969,12.777277946472168
predict1,5,135,135,174.90370178222656,79.04444122314453,5.580222129821777,6.5601115226745605
predict1,6,93,93,97.0215072631836,129.86021423339844,33.70331954956055,33.998291015625
predict1,7,122,122,170.13934326171875,161.41802978515625,9.288910865783691,7.381680011749268
predict1,8,107,107,175.42056274414062,209.18692016601562,15.076772689819336,23.460098266601562
predict1,9,70,70,82.17142486572266,149.8285675048828,23.776321411132812,24.309301376342773
predict1,10,60,60,159.56666564941406,94.1500015258789,8.234817504882812,11.401497840881348
predict1,11,61,61,22.42622947692871,219.47540283203125,23.22905158996582,19.87799072265625
predict1,12,63,63,168.5238037109375,77.73015594482422,41.52790451049805,27.034486770629883
predict1,13,111,111,85.64865112304688,100.20720672607422,17.32708740234375,20.972789764404297
predict1,14,103,103,188.5922393798828,54.57281494140625,6.407576084136963,22.980615615844727
predict1,15,170,170,188.54705810546875,175.14117431640625,11.24176025390625,13.155766487121582
predict2,1,135,135,155.11111450195312,83.80741119384766,26.042036056518555,33.35898971557617
predict2,2,137,137,46.83941650390625,88.9708023071289,49.59827423095703,22.199146270751953
predict2,3,90,90,44.83333206176758,207.93333435058594,63.50227737426758,43.85273361206055
predict2,4,79,79,197.92405700683594,180.93670654296875,21.038705825805664,19.280961990356445
predict2,5,135,135,204.42962646484375,156.55555725097656,17.4030818939209,13.524554252624512
predict2,6,93,93,115.29032135009766,135.25807189941406,20.791114807128906,10.628530502319336
predict2,7,122,122,169.78688049316406,154.82786560058594,26.7753963470459,20.711402893066406
predict2,8,107,107,185.299072265625,150.15887451171875,21.039888381958008,15.748104095458984
predict2,9,70,70,89.25714111328125,161.55714416503906,37.06892776489258,42.00973892211914
predict2,10,60,60,103.48332977294922,134.8000030517578,9.063650131225586,11.461238861083984
predict2,11,61,61,35.73770523071289,199.93443298339844,39.333335876464844,42.69559097290039
predict2,12,63,63,119.15872955322266,143.57142639160156,16.169937133789062,16.871801376342773
predict2,13,111,111,96.19819641113281,115.82882690429688,34.745361328125,16.496721267700195
predict2,14,103,103,162.07766723632812,140.79611206054688,11.214320182800293,24.238040924072266
predict2,15,170,170,167.78823852539062,158.97647094726562,10.826539993286133,17.396060943603516
predict3,1,135,135,174.0074005126953,152.3629608154297,22.062702178955078,11.690836906433105
predict3,2,137,137,79.04379272460938,109.43795776367188,57.31585693359375,49.58143997192383
predict3,3,90,90,72.04444122314453,164.84445190429688,31.93984031677246,17.340967178344727
predict3,4,79,79,207.6075897216797,198.74684143066406,22.394855499267578,18.003143310546875
predict3,5,135,135,171.22222900390625,173.0074005126953,11.682635307312012,23.155990600585938
predict3,6,93,93,90.53763580322266,148.2042999267578,32.50593566894531,49.103477478027344
predict3,7,122,122,190.26229858398438,187.67213439941406,28.568811416625977,25.42376708984375
predict3,8,107,107,206.57943725585938,153.233642578125,29.280797958374023,21.55435562133789
predict3,9,70,70,81.02857208251953,174.61428833007812,34.96895217895508,34.49153137207031
predict3,10,60,60,170.85000610351562,100.23332977294922,39.87180709838867,28.89888572692871
predict3,11,61,61,114.44261932373047,146.557373046875,14.638288497924805,16.721954345703125
predict3,12,63,63,166.63491821289062,104.28571319580078,30.284000396728516,26.288644790649414
predict3,13,111,111,75.54955291748047,89.63063049316406,33.28142166137695,20.85468101501465
predict3,14,103,103,194.84466552734375,187.49514770507812,26.96915054321289,23.60675811767578
predict3,15,170,170,196.9176483154297,183.3000030517578,20.48397445678711,22.687868118286133
predict4,1,134,134,103.88059997558594,143.85821533203125,28.773704528808594,22.020734786987305
predict4,2,137,137,117.80291748046875,128.1897735595703,29.16172981262207,44.829200744628906
predict4,3,90,90,94.44444274902344,160.27777099609375,35.792335510253906,21.134504318237305
predict4,4,79,79,172.49366760253906,191.6835479736328,14.614777565002441,23.452913284301758
predict4,5,135,135,157.3851776123047,94.65925598144531,17.943113327026367,28.701053619384766
predict4,6,93,93,85.82795715332031,165.1290283203125,29.68784523010254,28.772459030151367
predict4,7,122,122,148.54098510742188,150.72950744628906,43.22114944458008,27.450115203857422
predict4,8,107,107,171.60748291015625,75.63551330566406,44.513519287109375,18.406312942504883
predict4,9,70,70,77.32857513427734,150.10000610351562,28.758460998535156,31.671598434448242
predict4,10,60,60,155.96665954589844,94.9000015258789,25.12433433532715,28.43571662902832
predict4,11,61,61,96.80327606201172,161.50819396972656,21.005712509155273,26.740175247192383
predict4,12,63,63,128.0,128.0,0.0,0.0
predict4,13,111,111,96.9189224243164,88.36936950683594,23.531131744384766,29.19580841064453
predict4,14,103,103,154.36892700195312,86.93203735351562,14.966626167297363,19.334190368652344
predict4,15,170,170,147.0294189453125,152.43528747558594,39.538429260253906,26.902196884155273
