video,variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
1,global_constant,Global constant,539,35.688311688311686,38.07421150278293,33.30241187384045,1901.5528756957328,nan,nan,0.0,0.0
1,video_identity,Video identity,539,46.716141001855284,32.30797773654916,61.12430426716141,3058.7068645640074,nan,nan,0.0,0.0
1,video_time,Video--time prior,539,40.131725417439704,30.72356215213358,49.539888682745826,2681.569573283859,0.08999265332430548,0.016821687078331666,0.05284085964367761,0.007027304891383936
1,physiology,Physiological branch,539,31.642857142857142,33.28014842300556,30.00556586270872,1523.1660482374768,0.3768599621750372,0.5589505467450062,0.14165893541784824,0.20096956378083702
1,fixed_fusion,Fixed fusion,539,39.34879406307978,30.758812615955474,47.93877551020408,2529.812615955473,0.09076383373925456,0.03652203956307226,0.05302343613655548,0.015058544829528411
2,global_constant,Global constant,548,49.144160583941606,51.01642335766423,47.27189781021898,3793.6715328467153,nan,nan,0.0,0.0
2,video_identity,Video identity,548,46.66970802919708,57.666058394160586,35.67335766423358,3381.355839416058,nan,nan,0.0,0.0
2,video_time,Video--time prior,548,31.75,35.10401459854015,28.395985401459853,1781.9872262773722,0.6011482971489038,0.5567007769970681,0.5291990016088655,0.469112276282623
2,physiology,Physiological branch,548,53.96897810218978,56.191605839416056,51.746350364963504,4488.928832116789,-0.39657717953322347,-0.2806646541203575,-0.06474018471555111,-0.04535498226220288
2,fixed_fusion,Fixed fusion,548,31.93978102189781,35.02372262773723,28.855839416058394,1767.007299270073,0.6005758782637093,0.5547365247091307,0.5294468193963294,0.44594185299310163
3,global_constant,Global constant,360,66.23194444444445,75.25555555555556,57.208333333333336,5933.2763888888885,nan,nan,0.0,0.0
3,video_identity,Video identity,360,37.326388888888886,44.06111111111111,30.591666666666665,2616.9430555555555,nan,nan,0.0,0.0
